granularity,nation,year,month,n_valid_cells,n_baseline_fail,baseline_fail_share,n_excess_computed,sample
year,US,1990,,7535,7535,1.0,0,US carriers' airborne time on US-touching international segments
year,US,1991,,8068,8068,1.0,0,US carriers' airborne time on US-touching international segments
year,US,1992,,8562,2228,0.2602195748656856,6334,US carriers' airborne time on US-touching international segments
year,US,1993,,8617,1574,0.18266217941278867,7043,US carriers' airborne time on US-touching international segments
year,US,1994,,8657,1483,0.17130645720226406,7174,US carriers' airborne time on US-touching international segments
year,US,1995,,9006,1923,0.21352431712191872,7083,US carriers' airborne time on US-touching international segments
year,US,1996,,9183,2210,0.24066209299793095,6973,US carriers' airborne time on US-touching international segments
year,US,1997,,9200,1898,0.20630434782608695,7302,US carriers' airborne time on US-touching international segments
year,US,1998,,10010,2417,0.24145854145854145,7593,US carriers' airborne time on US-touching international segments
year,US,1999,,10371,2225,0.2145405457525793,8146,US carriers' airborne time on US-touching international segments
year,US,2000,,11143,2154,0.1933052140357175,8989,US carriers' airborne time on US-touching international segments
year,US,2001,,11825,2494,0.2109090909090909,9331,US carriers' airborne time on US-touching international segments
year,US,2002,,11498,1952,0.16976865541833364,9546,US carriers' airborne time on US-touching international segments
year,US,2003,,13076,2987,0.22843377179565616,10089,US carriers' airborne time on US-touching international segments
year,US,2004,,14426,3597,0.24934146679606267,10829,US carriers' airborne time on US-touching international segments
year,US,2005,,15772,3697,0.23440273903119452,12075,US carriers' airborne time on US-touching international segments
year,US,2006,,16947,3798,0.22411046202867765,13149,US carriers' airborne time on US-touching international segments
year,US,2007,,17628,3288,0.1865214431586113,14340,US carriers' airborne time on US-touching international segments
year,US,2008,,17793,2765,0.155398190299556,15028,US carriers' airborne time on US-touching international segments
year,US,2009,,17004,2213,0.1301458480357563,14791,US carriers' airborne time on US-touching international segments
year,US,2010,,17061,1886,0.11054451673407185,15175,US carriers' airborne time on US-touching international segments
year,US,2011,,17322,1974,0.11395912712157949,15348,US carriers' airborne time on US-touching international segments
year,US,2012,,17258,1851,0.10725460655927686,15407,US carriers' airborne time on US-touching international segments
year,US,2013,,17493,1939,0.11084433773509404,15554,US carriers' airborne time on US-touching international segments
year,US,2014,,18161,2223,0.1224051539012169,15938,US carriers' airborne time on US-touching international segments
year,US,2015,,18158,2040,0.11234717479898668,16118,US carriers' airborne time on US-touching international segments
year,US,2016,,18466,2236,0.12108740387739629,16230,US carriers' airborne time on US-touching international segments
year,US,2017,,18464,2186,0.11839254766031196,16278,US carriers' airborne time on US-touching international segments
year,US,2018,,18557,1830,0.0986150778681899,16727,US carriers' airborne time on US-touching international segments
year,US,2019,,19090,2178,0.1140911471974856,16912,US carriers' airborne time on US-touching international segments
year,US,2020,,9623,929,0.09653954068377844,8694,US carriers' airborne time on US-touching international segments
year,US,2021,,13877,2547,0.18354111119117966,11330,US carriers' airborne time on US-touching international segments
year,US,2022,,17619,15301,0.8684374822634656,2318,US carriers' airborne time on US-touching international segments
year,US,2023,,18712,16373,0.875,2339,US carriers' airborne time on US-touching international segments
year,US,2024,,19519,3807,0.19504072954557097,15712,US carriers' airborne time on US-touching international segments
year,US,2025,,20174,2921,0.14479032417963716,17253,US carriers' airborne time on US-touching international segments
month,US,1990,1,592,592,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,2,595,595,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,3,593,593,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,4,588,588,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,5,603,603,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,6,617,617,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,7,652,652,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,8,665,665,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,9,661,661,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,10,649,649,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,11,652,652,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1990,12,668,668,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,1,647,647,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,2,620,620,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,3,645,645,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,4,647,647,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,5,670,670,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,6,705,705,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,7,709,709,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,8,717,717,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,9,690,690,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,10,689,689,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,11,668,668,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1991,12,661,661,1.0,0,US carriers' airborne time on US-touching international segments
month,US,1992,1,669,183,0.273542600896861,486,US carriers' airborne time on US-touching international segments
month,US,1992,2,668,205,0.3068862275449102,463,US carriers' airborne time on US-touching international segments
month,US,1992,3,683,200,0.29282576866764276,483,US carriers' airborne time on US-touching international segments
month,US,1992,4,692,216,0.31213872832369943,476,US carriers' airborne time on US-touching international segments
month,US,1992,5,716,207,0.28910614525139666,509,US carriers' airborne time on US-touching international segments
month,US,1992,6,746,209,0.2801608579088472,537,US carriers' airborne time on US-touching international segments
month,US,1992,7,751,176,0.23435419440745672,575,US carriers' airborne time on US-touching international segments
month,US,1992,8,752,165,0.21941489361702127,587,US carriers' airborne time on US-touching international segments
month,US,1992,9,742,173,0.23315363881401618,569,US carriers' airborne time on US-touching international segments
month,US,1992,10,715,156,0.21818181818181817,559,US carriers' airborne time on US-touching international segments
month,US,1992,11,709,163,0.229901269393512,546,US carriers' airborne time on US-touching international segments
month,US,1992,12,719,175,0.24339360222531292,544,US carriers' airborne time on US-touching international segments
month,US,1993,1,724,167,0.23066298342541436,557,US carriers' airborne time on US-touching international segments
month,US,1993,2,716,154,0.21508379888268156,562,US carriers' airborne time on US-touching international segments
month,US,1993,3,710,149,0.20985915492957746,561,US carriers' airborne time on US-touching international segments
month,US,1993,4,707,134,0.18953323903818953,573,US carriers' airborne time on US-touching international segments
month,US,1993,5,712,119,0.16713483146067415,593,US carriers' airborne time on US-touching international segments
month,US,1993,6,734,121,0.164850136239782,613,US carriers' airborne time on US-touching international segments
month,US,1993,7,737,125,0.16960651289009498,612,US carriers' airborne time on US-touching international segments
month,US,1993,8,735,116,0.15782312925170067,619,US carriers' airborne time on US-touching international segments
month,US,1993,9,733,121,0.165075034106412,612,US carriers' airborne time on US-touching international segments
month,US,1993,10,704,115,0.16335227272727273,589,US carriers' airborne time on US-touching international segments
month,US,1993,11,695,124,0.17841726618705037,571,US carriers' airborne time on US-touching international segments
month,US,1993,12,710,129,0.18169014084507043,581,US carriers' airborne time on US-touching international segments
month,US,1994,1,739,156,0.21109607577807848,583,US carriers' airborne time on US-touching international segments
month,US,1994,2,730,149,0.20410958904109588,581,US carriers' airborne time on US-touching international segments
month,US,1994,3,745,159,0.2134228187919463,586,US carriers' airborne time on US-touching international segments
month,US,1994,4,724,122,0.1685082872928177,602,US carriers' airborne time on US-touching international segments
month,US,1994,5,712,112,0.15730337078651685,600,US carriers' airborne time on US-touching international segments
month,US,1994,6,719,105,0.14603616133518776,614,US carriers' airborne time on US-touching international segments
month,US,1994,7,716,103,0.14385474860335196,613,US carriers' airborne time on US-touching international segments
month,US,1994,8,706,92,0.13031161473087818,614,US carriers' airborne time on US-touching international segments
month,US,1994,9,714,107,0.14985994397759103,607,US carriers' airborne time on US-touching international segments
month,US,1994,10,698,109,0.15616045845272206,589,US carriers' airborne time on US-touching international segments
month,US,1994,11,715,128,0.17902097902097902,587,US carriers' airborne time on US-touching international segments
month,US,1994,12,739,141,0.19079837618403248,598,US carriers' airborne time on US-touching international segments
month,US,1995,1,757,153,0.202113606340819,604,US carriers' airborne time on US-touching international segments
month,US,1995,2,746,142,0.1903485254691689,604,US carriers' airborne time on US-touching international segments
month,US,1995,3,743,145,0.19515477792732167,598,US carriers' airborne time on US-touching international segments
month,US,1995,4,736,142,0.19293478260869565,594,US carriers' airborne time on US-touching international segments
month,US,1995,5,751,161,0.21438082556591212,590,US carriers' airborne time on US-touching international segments
month,US,1995,6,774,176,0.22739018087855298,598,US carriers' airborne time on US-touching international segments
month,US,1995,7,770,177,0.22987012987012986,593,US carriers' airborne time on US-touching international segments
month,US,1995,8,771,177,0.22957198443579765,594,US carriers' airborne time on US-touching international segments
month,US,1995,9,763,168,0.22018348623853212,595,US carriers' airborne time on US-touching international segments
month,US,1995,10,733,160,0.21828103683492497,573,US carriers' airborne time on US-touching international segments
month,US,1995,11,721,157,0.217753120665742,564,US carriers' airborne time on US-touching international segments
month,US,1995,12,741,165,0.22267206477732793,576,US carriers' airborne time on US-touching international segments
month,US,1996,1,765,181,0.23660130718954248,584,US carriers' airborne time on US-touching international segments
month,US,1996,2,760,174,0.22894736842105262,586,US carriers' airborne time on US-touching international segments
month,US,1996,3,768,179,0.23307291666666666,589,US carriers' airborne time on US-touching international segments
month,US,1996,4,746,174,0.23324396782841822,572,US carriers' airborne time on US-touching international segments
month,US,1996,5,754,181,0.24005305039787797,573,US carriers' airborne time on US-touching international segments
month,US,1996,6,784,202,0.2576530612244898,582,US carriers' airborne time on US-touching international segments
month,US,1996,7,797,216,0.2710163111668758,581,US carriers' airborne time on US-touching international segments
month,US,1996,8,801,222,0.27715355805243447,579,US carriers' airborne time on US-touching international segments
month,US,1996,9,768,186,0.2421875,582,US carriers' airborne time on US-touching international segments
month,US,1996,10,734,163,0.2220708446866485,571,US carriers' airborne time on US-touching international segments
month,US,1996,11,748,166,0.22192513368983957,582,US carriers' airborne time on US-touching international segments
month,US,1996,12,758,166,0.21899736147757257,592,US carriers' airborne time on US-touching international segments
month,US,1997,1,781,171,0.21895006402048656,610,US carriers' airborne time on US-touching international segments
month,US,1997,2,779,175,0.2246469833119384,604,US carriers' airborne time on US-touching international segments
month,US,1997,3,791,174,0.21997471554993678,617,US carriers' airborne time on US-touching international segments
month,US,1997,4,770,171,0.22207792207792207,599,US carriers' airborne time on US-touching international segments
month,US,1997,5,744,138,0.18548387096774194,606,US carriers' airborne time on US-touching international segments
month,US,1997,6,754,137,0.1816976127320955,617,US carriers' airborne time on US-touching international segments
month,US,1997,7,767,152,0.1981747066492829,615,US carriers' airborne time on US-touching international segments
month,US,1997,8,768,153,0.19921875,615,US carriers' airborne time on US-touching international segments
month,US,1997,9,761,153,0.20105124835742444,608,US carriers' airborne time on US-touching international segments
month,US,1997,10,745,147,0.19731543624161074,598,US carriers' airborne time on US-touching international segments
month,US,1997,11,759,160,0.21080368906455862,599,US carriers' airborne time on US-touching international segments
month,US,1997,12,781,167,0.21382842509603073,614,US carriers' airborne time on US-touching international segments
month,US,1998,1,815,174,0.2134969325153374,641,US carriers' airborne time on US-touching international segments
month,US,1998,2,815,179,0.2196319018404908,636,US carriers' airborne time on US-touching international segments
month,US,1998,3,807,177,0.21933085501858737,630,US carriers' airborne time on US-touching international segments
month,US,1998,4,822,209,0.2542579075425791,613,US carriers' airborne time on US-touching international segments
month,US,1998,5,819,201,0.2454212454212454,618,US carriers' airborne time on US-touching international segments
month,US,1998,6,842,204,0.24228028503562946,638,US carriers' airborne time on US-touching international segments
month,US,1998,7,863,218,0.2526071842410197,645,US carriers' airborne time on US-touching international segments
month,US,1998,8,861,214,0.24854819976771197,647,US carriers' airborne time on US-touching international segments
month,US,1998,9,847,209,0.24675324675324675,638,US carriers' airborne time on US-touching international segments
month,US,1998,10,838,221,0.2637231503579952,617,US carriers' airborne time on US-touching international segments
month,US,1998,11,835,207,0.24790419161676647,628,US carriers' airborne time on US-touching international segments
month,US,1998,12,846,204,0.24113475177304963,642,US carriers' airborne time on US-touching international segments
month,US,1999,1,878,209,0.23804100227790434,669,US carriers' airborne time on US-touching international segments
month,US,1999,2,879,200,0.22753128555176336,679,US carriers' airborne time on US-touching international segments
month,US,1999,3,872,192,0.22018348623853212,680,US carriers' airborne time on US-touching international segments
month,US,1999,4,853,187,0.21922626025791325,666,US carriers' airborne time on US-touching international segments
month,US,1999,5,834,181,0.2170263788968825,653,US carriers' airborne time on US-touching international segments
month,US,1999,6,878,189,0.2152619589977221,689,US carriers' airborne time on US-touching international segments
month,US,1999,7,873,176,0.2016036655211913,697,US carriers' airborne time on US-touching international segments
month,US,1999,8,874,176,0.20137299771167047,698,US carriers' airborne time on US-touching international segments
month,US,1999,9,876,185,0.21118721461187215,691,US carriers' airborne time on US-touching international segments
month,US,1999,10,845,182,0.2153846153846154,663,US carriers' airborne time on US-touching international segments
month,US,1999,11,844,171,0.20260663507109006,673,US carriers' airborne time on US-touching international segments
month,US,1999,12,865,177,0.2046242774566474,688,US carriers' airborne time on US-touching international segments
month,US,2000,1,895,172,0.19217877094972066,723,US carriers' airborne time on US-touching international segments
month,US,2000,2,908,174,0.19162995594713655,734,US carriers' airborne time on US-touching international segments
month,US,2000,3,912,176,0.19298245614035087,736,US carriers' airborne time on US-touching international segments
month,US,2000,4,918,179,0.19498910675381265,739,US carriers' airborne time on US-touching international segments
month,US,2000,5,912,178,0.19517543859649122,734,US carriers' airborne time on US-touching international segments
month,US,2000,6,938,179,0.1908315565031983,759,US carriers' airborne time on US-touching international segments
month,US,2000,7,944,177,0.1875,767,US carriers' airborne time on US-touching international segments
month,US,2000,8,948,184,0.1940928270042194,764,US carriers' airborne time on US-touching international segments
month,US,2000,9,926,168,0.18142548596112312,758,US carriers' airborne time on US-touching international segments
month,US,2000,10,914,162,0.1772428884026258,752,US carriers' airborne time on US-touching international segments
