unique_carrier,carrier_name,nation_iso2,match_method,departures,home_country_dep_share,top_endpoint_country,n_openflights_candidates,candidate_names,flag_home_share_zero,sample_group
AC,Air Canada,CA,iata,1972479.0,0.9960658643260587,CA,1,Air Canada (Canada),False,top40_by_departures
QK,Jazz Aviation LP,CA,iata,1134565.0,1.0,CA,1,Air Canada Jazz (Canada),False,top40_by_departures
BA,British Airways Plc,GB,iata,934509.0,0.980925812378479,GB,1,British Airways (United Kingdom),False,top40_by_departures
AM,Aeromexico,MX,iata,708971.0,0.9987376070389339,MX,1,AeroMéxico (Mexico),False,top40_by_departures
LH,Lufthansa German Airlines,DE,iata,678287.0,0.9533796165929761,DE,2,Lufthansa (Germany); Lufthansa Cargo (Germany),False,top40_by_departures
MX (1),Compania Mexicana De Aviaci,MX,iata,577673.0,0.9940052590306281,MX,1,Mexicana de Aviaci (Mexico),False,top40_by_departures
WS,Westjet,CA,iata,560487.0,0.9998233678925649,CA,1,WestJet (Canada),False,top40_by_departures
AF,Compagnie Natl Air France,FR,iata,489568.0,0.9012496731812537,FR,1,Air France (France),False,top40_by_departures
KE,Korean Air Lines Co. Ltd.,KR,iata,462993.0,0.8709634918886463,KR,1,Korean Air (Republic of Korea),False,top40_by_departures
JL,Japan Air Lines Co. Ltd.,JP,iata,433651.0,0.9511219851908562,JP,2,Japan Airlines (Japan); Japan Airlines Domestic (Japan),False,top40_by_departures
VS,Virgin Atlantic Airways,GB,iata,373457.0,0.9987709428394701,GB,1,Virgin Atlantic Airways (United Kingdom),False,top40_by_departures
Y4,Concesionaria Vuela Compania De Aviacion SA de CV (Volaris),MX,iata,354940.0,1.0,MX,1,Volaris (Mexico),False,top40_by_departures
TA,Taca International Airlines,CR,iata,347572.0,0.0037833887654931926,SV,1,Grupo TACA (Costa Rica),False,top40_by_departures
CM,Compania Panamena (Copa),PA,iata,344979.0,0.9700677432539372,PA,1,Copa Airlines (Panama),False,top40_by_departures
ZX,Air Georgian,CA,name_exact,304761.0,0.9999507811038814,CA,1,Air Georgian (Canada),False,top40_by_departures
KL,Klm Royal Dutch Airlines,NL,iata,259033.0,0.9597850466928924,NL,1,KLM Royal Dutch Airlines (Netherlands),False,top40_by_departures
CX,Cathay Pacific Airways Ltd.,HK,iata,253033.0,0.841890188236317,HK,1,Cathay Pacific (Hong Kong SAR of China),False,top40_by_departures
PD,Porter Airlines Limited (PACL),CA,iata,228419.0,1.0,CA,1,Porter Airlines (Canada),False,top40_by_departures
CI,China Airlines Ltd.,TW,iata,224625.0,0.8869493600445186,TW,1,China Airlines (Taiwan),False,top40_by_departures
KV,Sky Regional Airlines Inc.,RU,iata,222939.0,0.0,CA,1,Kavminvodyavia (Russia),True,top40_by_departures
BR,Eva Airways Corporation,TW,iata,220103.0,0.984225567120848,TW,1,EVA Air (Taiwan),False,top40_by_departures
NH,All Nippon Airways Co.,JP,iata,217636.0,0.9998483706739694,JP,1,All Nippon Airways (Japan),False,top40_by_departures
JM,Air Jamaica Limited,JM,iata,208767.0,0.954461193579445,JM,1,Air Jamaica (Jamaica),False,top40_by_departures
EI,Aer Lingus Plc,IE,iata,193529.0,0.9668731817970433,IE,1,Aer Lingus (Ireland),False,top40_by_departures
RV,Air Canada rouge LP,IR,iata,191266.0,0.0,CA,1,Caspian Airlines (Iran),True,top40_by_departures
IB,Iberia Air Lines Of Spain,ES,iata,187249.0,0.748308402181053,ES,1,Iberia Airlines (Spain),False,top40_by_departures
SQ,Singapore Airlines Ltd.,SG,iata,185770.0,0.22720030144802714,SG,2,Singapore Airlines (Singapore); Singapore Airlines Cargo (Singapore),False,top40_by_departures
LA,LATAM Airlines Group SA dba Lan Airlines,CL,iata,178515.0,0.4077920622916842,CL,1,LAN Airlines (Chile),False,top40_by_departures
BW,Caribbean Airlines Limited,TT,iata,176498.0,0.4772405353035162,TT,1,Caribbean Airlines (Trinidad and Tobago),False,top40_by_departures
UP,Bahamasair Holding Limited,BS,iata,175789.0,0.999237722496857,BS,1,Bahamasair (Bahamas),False,top40_by_departures
