airport,corridor,window,covid_flag,covid_month_share,departures_total_all_carriers,departures_matched_all_carriers,match_rate_all_carriers,departures_total_foreign,departures_matched_foreign,match_rate_foreign,departures_matched_foreign_homecountry_filtered,match_rate_foreign_precision_adjusted
PEK,1_useastasia,full_2019_2024,True,0.3055555555555556,19177.0,19177.0,1.0,11584.0,11584.0,1.0,11584.0,1.0
PEK,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,287.0,287.0,1.0,138.0,138.0,1.0,138.0,1.0
PVG,1_useastasia,full_2019_2024,True,0.3055555555555556,22763.0,22763.0,1.0,9183.0,9183.0,1.0,9183.0,1.0
PVG,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,776.0,776.0,1.0,540.0,540.0,1.0,540.0,1.0
CAN,1_useastasia,full_2019_2024,True,0.3055555555555556,4513.0,4513.0,1.0,4513.0,4513.0,1.0,4513.0,1.0
CAN,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,300.0,300.0,1.0,300.0,300.0,1.0,300.0,1.0
HKG,1_useastasia,full_2019_2024,True,0.3055555555555556,34187.0,34187.0,1.0,26466.0,26466.0,1.0,26466.0,1.0
HKG,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,2531.0,2531.0,1.0,2531.0,2531.0,1.0,2531.0,1.0
NRT,1_useastasia,full_2019_2024,True,0.3055555555555556,114485.0,114485.0,1.0,70550.0,70550.0,1.0,65100.0,0.9227498228206945
NRT,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,25713.0,25713.0,1.0,18621.0,18621.0,1.0,17437.0,0.936415874550239
HND,1_useastasia,full_2019_2024,True,0.3055555555555556,77103.0,77103.0,1.0,44047.0,44047.0,1.0,44047.0,1.0
HND,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,12826.0,12826.0,1.0,8808.0,8808.0,1.0,8808.0,1.0
ICN,1_useastasia,full_2019_2024,True,0.3055555555555556,111760.0,85319.0,0.7634126700071582,81442.0,55001.0,0.6753395054148965,53527.0,0.6572407357383169
ICN,1_useastasia,zoom_2021h2_2022,True,0.3684210526315789,24555.0,18595.0,0.7572795764610059,16708.0,10748.0,0.6432846540579363,10748.0,0.6432846540579363
