unique_carrier,carrier_name_era,year_start,year_end,nation_iso2,match_method,flip_type,resolution
09Q,"Swift Air, LLC",2006,2017,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2018,2024,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
1BQ,"Dynamic Airways, LLC",2011,2017,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",2018,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
23Q,Sky King Inc.,2015,2015,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
23Q,Songbird Airways Inc.,2015,2017,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
24Q,Blue Jet SP Z o o,2014,2014,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
24Q,Jet Story,2015,2025,,unmatched,name_churn_no_nation_assigned,"not applicable — this code carries no assigned nation currently (match_method='unmatched'); listed for completeness only, not tested for cross-border drift."
2K,Aerolineas Galapagos S A Aerogal,2009,2012,EC,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('EC') and the mapped nation is held fixed at 'EC'; read as a rebrand, not a nationality flip"
2K,Aerogal,2021,2025,EC,iata,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years but the top observed endpoint country is stable ('EC') and the mapped nation is held fixed at 'EC'; read as a rebrand, not a nationality flip"
37Q,"Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",2018,2019,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
37Q,"Eastern Air Express, LLC (EAX)",2025,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
3M,Gulfstream Int,2002,2011,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
3M,Silver Airways,2012,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
5V,Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service,1996,2004,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2005,2025,US,us_by_construction,name_churn_stable_nation,"resolved — UNIQUE_CARRIER_NAME changes across years, but the nation 'US' is verified independently via BTS's own CARRIER_GROUP field, not inferred from route geography; a route-mix change is not evidence against it. Not tested for cross-border drift."
