unique_carrier,carrier_name,total_departures,first_year,last_year,match_method,modal_foreign_endpoint_country,departures_2019_2024_classF,n_openflights_candidates,candidate_names
AV,Aerovias Nacl De Colombia,254450.0,1990,2025,unmatched,CO,60809.0,1,Avianca - Aerovias Nacionales de Colombia (AVIANCA)
OZ,Asiana Airlines Inc.,204972.0,1991,2025,unmatched,KR,22793.0,2,Asiana Airlines (Republic of Korea); Ozark Air Lines (United States)
CP (1),Canadian Airlines International Ltd.,183233.0,1990,2000,unmatched,CA,0.0,2,Canadian Airlines (Canada); Compass Airlines (United States)
VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",89661.0,2008,2025,unmatched,MX,59023.0,2,Birmingham European (United Kingdom); Pacific Express (United States)
CV,Cargolux Airlines International S.A,79517.0,1990,2025,unmatched,LU,0.0,2,Air Chathams (New Zealand); Cargolux (Luxembourg)
2T (1),Canada 3000 Airlines Ltd.,50096.0,1990,2001,refused_suffix_collision,CA,0.0,1,Haiti Ambassador Airlines (Haiti)
14Q,London Air Services Limited,43186.0,2010,2023,unmatched,CA,0.0,0,
LGQ,Lineas Aereas Allegro,41550.0,1993,2003,unmatched,MX,0.0,0,
L7,Lan Colombia,37777.0,2009,2025,unmatched,CO,0.0,3,Laoag International Airlines (Philippines); Linea Aerea SAPSA (Chile); Lugansk Airlines (Ukraine)
SN (1),Sabena Belgian World Air.,34953.0,1990,2001,refused_suffix_collision,BE,0.0,1,Brussels Airlines (Belgium)
M7,Aerotransportes Mas De Crga,34889.0,1992,2024,unmatched,MX,0.0,3,MasAir (Mexico); Marsland Aviation (Sudan); Tropical Airways (Haiti)
DHQ,DHL Aero Expresso,34841.0,1996,2025,unmatched,PA,0.0,0,
GD,Transp. Aereos Ejecutivos,31811.0,1990,1999,unmatched,MX,0.0,2,Air Alpha Greenland (Denmark); GoDutch (Netherlands)
VH (1),Aeropostal Alas De Venezuel,28302.0,1991,2008,refused_suffix_collision,VE,0.0,1,Virgin Pacific (Fiji)
3S,AeroLogic GmbH,28256.0,2010,2025,unmatched,DE,0.0,2,Aeroland Airways (Greece); Air Antilles Express (Guadeloupe)
M3,ABSA-Aerolinhas Brasileiras,26936.0,1998,2025,unmatched,BR,0.0,3,ABSA - Aerolinhas Brasileiras (Brazil); Air Service (Macedonia); North Flying (Denmark)
P3,Porter Airlines Inc. (PAI),26477.0,2024,2025,unmatched,CA,14457.0,0,
VC (1),Servicios Avensa,25650.0,1991,2002,unmatched,VE,0.0,3,Ocean Airlines (Italy); Voyageur Airways (Canada); Strategic Airlines (Australia)
2OQ,Talofa Airways Limited,24562.0,2016,2025,unmatched,WS,13000.0,0,
GU (1),Aviateca,24313.0,1990,2000,refused_suffix_collision,GT,0.0,1,Gulisano airways (Italy)
AD,Azul Linhas Aereas Brazileiras S A,23156.0,2015,2025,unmatched,BR,10727.0,2,Air Paradise International (Indonesia); Azul (Brazil)
