nation,year,n_rows,n_air_time_valid,n_air_time_zero,n_air_time_null,n_ramp_valid,n_ramp_zero,n_ramp_null,dep_total,median_departures,dep_home0,share_air_time_valid,share_air_time_zero,share_air_time_null,share_ramp_valid,share_ramp_zero,share_ramp_null,share_dep_home0,covid_flag,match_sensitive,gate_g6_pass
AE,2004,14,0,14,0,0,14,0,424.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2005,24,0,24,0,0,24,0,822.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2006,30,0,30,0,0,30,0,1715.0,61.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2007,79,0,79,0,0,79,0,2895.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2008,97,0,97,0,0,97,0,3085.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2009,176,0,176,0,0,176,0,4257.0,28.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2010,198,0,198,0,0,198,0,5350.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2011,216,0,216,0,0,216,0,6556.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2012,266,0,266,0,0,266,0,7096.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2013,274,0,274,0,0,274,0,8034.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2014,336,0,336,0,0,336,0,10798.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2015,449,0,449,0,0,449,0,14083.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2016,494,0,494,0,0,494,0,15883.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2017,533,0,533,0,0,533,0,15932.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2018,473,0,473,0,0,473,0,13835.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2019,445,0,445,0,0,445,0,12798.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2020,236,0,236,0,0,236,0,4631.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False
AE,2021,387,0,387,0,0,387,0,8351.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False
AE,2022,418,0,418,0,0,418,0,11961.0,30.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
AE,2023,404,0,404,0,0,404,0,12807.0,31.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,False,False,False
