year,carrier_group,is_us_carrier_group,n_rows,n_dep_gt0,n_air_gt0,n_air_zero,n_air_null,n_ramp_gt0,n_ramp_zero,n_ramp_null,n_depsched_gt0,n_mail_gt0,n_seats_gt0,n_pax_gt0,n_dist_gt0,departures
1990,0,False,27540,27540,0,27540,0,0,27540,0,0,0,22437,22430,27540,313898.0
1990,1,True,4520,4517,4518,2,0,4518,2,0,1657,122,1959,1832,4520,19272.0
1990,2,True,3117,3115,3116,1,0,3116,1,0,1127,196,2727,2540,3117,32761.0
1990,3,True,15983,15912,15912,71,0,15912,71,0,14017,9816,14838,14733,15983,320936.0
1991,0,False,27391,27391,0,27391,0,0,27391,0,0,0,21987,21964,27391,316261.0
1991,1,True,3947,3947,3947,0,0,3947,0,0,1349,127,1544,1453,3947,18163.0
1991,2,True,3336,3335,3336,0,0,3336,0,0,1222,224,2911,2718,3336,36310.0
1991,3,True,16947,16850,16850,97,0,16850,97,0,15223,10384,15762,15642,16947,333786.0
1992,0,False,29750,29750,0,29750,0,0,29750,0,0,0,24106,24073,29750,336022.0
1992,1,True,5280,5278,5278,2,0,5280,0,0,1192,325,2011,1814,5279,24242.0
1992,2,True,4722,4717,4717,5,0,4717,5,0,1668,254,3935,3646,4721,60808.0
1992,3,True,16656,16573,16573,83,0,16573,83,0,14971,10496,15487,15402,16656,366352.0
1993,0,False,27128,27128,0,27128,0,0,27128,0,0,0,22266,22241,27128,343022.0
1993,1,True,6737,6732,6735,2,0,6735,2,0,1430,388,2958,2627,6737,28220.0
1993,2,True,5616,5594,5594,22,0,5594,22,0,2210,468,4630,4379,5616,71678.0
1993,3,True,15688,15621,15621,67,0,15621,67,0,14196,10153,14644,14554,15688,380803.0
1994,0,False,27208,27208,0,27208,0,0,27208,0,0,0,22297,22268,27208,359506.0
1994,1,True,7884,7883,7878,6,0,7878,6,0,1306,355,3507,2964,7884,29923.0
1994,2,True,6498,6494,6494,4,0,6494,4,0,2762,556,4992,4796,6497,86608.0
1994,3,True,15351,15300,15300,51,0,15300,51,0,13825,9536,14203,14126,15351,372349.0
1995,0,False,27150,27150,0,27150,0,0,27150,0,0,0,22045,22001,27150,394660.0
1995,1,True,8583,8583,8582,1,0,8582,1,0,1461,385,3831,3233,8582,30915.0
1995,2,True,7020,7015,7016,4,0,7016,4,0,2999,583,5377,5114,7015,97441.0
1995,3,True,15939,15906,15906,33,0,15906,33,0,14343,9419,14426,14336,15939,390906.0
1996,0,False,27898,27898,0,27898,0,0,27898,0,0,0,22632,22604,27898,415992.0
1996,1,True,8726,8723,8720,6,0,8720,6,0,1322,502,3763,3347,8717,37608.0
1996,2,True,6872,6860,6860,12,0,6860,12,0,2895,594,5193,4896,6872,83726.0
1996,3,True,16589,16555,16555,34,0,16555,34,0,14739,9106,14893,14773,16589,406492.0
1997,0,False,28806,28806,0,28806,0,0,28806,0,0,0,23966,23949,28806,443842.0
1997,1,True,10464,10463,10458,6,0,10458,6,0,1891,682,4516,3933,10462,47817.0
1997,2,True,5957,5949,5949,8,0,5949,8,0,2629,491,4150,3925,5957,78934.0
1997,3,True,16718,16682,16682,36,0,16682,36,0,14960,8871,14653,14581,16717,413773.0
1998,0,False,29704,29704,0,29704,0,0,29704,0,0,0,24943,24935,29704,472078.0
1998,1,True,10933,10932,10932,1,0,10932,1,0,1750,589,5350,4608,10931,56430.0
1998,2,True,5441,5432,5432,9,0,5432,9,0,2865,498,3683,3460,5441,108870.0
1998,3,True,17689,17642,17642,47,0,17642,47,0,15843,8639,15393,15346,17689,446038.0
1999,0,False,28886,28886,0,28886,0,0,28886,0,0,0,23950,23944,28886,488333.0
1999,1,True,9488,9480,9483,5,0,9483,5,0,1473,593,4343,3592,9481,37912.0
1999,2,True,7224,7213,7214,10,0,7214,10,0,3068,516,4933,4591,7220,139636.0
1999,3,True,18404,18362,18362,42,0,18362,42,0,16466,8588,16125,16055,18404,450974.0
2000,0,False,28001,28001,0,28001,0,0,28001,0,0,0,23294,23288,28001,502082.0
2000,1,True,7823,7818,7821,2,0,7821,2,0,951,390,5336,4659,7823,27322.0
2000,2,True,9738,9726,9728,10,0,9728,10,0,3588,469,4077,3966,9737,147824.0
2000,3,True,21776,21740,21740,36,0,21740,36,0,18371,8348,18695,18483,21776,521754.0
2001,0,False,26247,26247,0,26247,0,0,26247,0,0,0,21815,21790,26247,492624.0
2001,1,True,7035,7026,7034,1,0,7035,0,0,937,280,4966,4434,7035,15718.0
2001,2,True,9734,9718,9722,12,0,9722,12,0,4322,414,4871,4696,9734,154971.0
2001,3,True,22634,22564,22567,67,0,22567,67,0,19864,8235,18935,18768,22634,528684.0
2002,0,False,24520,24520,0,24520,0,0,24520,0,0,0,19938,19927,24520,485534.0
2002,1,True,8674,8664,8667,7,0,8667,7,0,1417,403,6753,6116,8456,46030.0
