carrier_group_label,column,n_rows,n_gt0,share_gt0
us,DEPARTURES_PERFORMED,1528925,1523785,0.9966381607992544
us,AIR_TIME,1528925,1523392,0.9963811174518044
us,RAMP_TO_RAMP,1528925,1523775,0.9966316202560622
us,DEPARTURES_SCHEDULED,1528925,1095079,0.7162411498274932
us,MAIL,1528925,307608,0.20119234102392203
us,SEATS,1528925,1200323,0.7850764425985578
us,PASSENGERS,1528925,1167849,0.763836682636493
us,PAYLOAD,1528925,1523603,0.9965191229131579
us,FREIGHT,1528925,837207,0.5475788544238599
us,DISTANCE,1528925,1528672,0.9998345242572395
foreign,DEPARTURES_PERFORMED,1133545,1133545,1.0
foreign,AIR_TIME,1133545,0,0.0
foreign,RAMP_TO_RAMP,1133545,0,0.0
foreign,DEPARTURES_SCHEDULED,1133545,0,0.0
foreign,MAIL,1133545,0,0.0
foreign,SEATS,1133545,952612,0.8403830461075652
foreign,PASSENGERS,1133545,947105,0.8355248358027251
foreign,PAYLOAD,1133545,917655,0.8095443939146659
foreign,FREIGHT,1133545,738978,0.6519176565553199
foreign,DISTANCE,1133545,1133545,1.0
