nation,year,share_air_time_valid,dep_total,n_rows,covid_flag,match_sensitive,reason
AE,2004,0.0,424.0,14,False,False,share_air_time_valid < 0.5
AE,2005,0.0,822.0,24,False,False,share_air_time_valid < 0.5
AE,2006,0.0,1715.0,30,False,False,share_air_time_valid < 0.5
AE,2007,0.0,2895.0,79,False,False,share_air_time_valid < 0.5
AE,2008,0.0,3085.0,97,False,False,share_air_time_valid < 0.5
AE,2009,0.0,4257.0,176,False,False,share_air_time_valid < 0.5
AE,2010,0.0,5350.0,198,False,False,share_air_time_valid < 0.5
AE,2011,0.0,6556.0,216,False,False,share_air_time_valid < 0.5
AE,2012,0.0,7096.0,266,False,False,share_air_time_valid < 0.5
AE,2013,0.0,8034.0,274,False,False,share_air_time_valid < 0.5
AE,2014,0.0,10798.0,336,False,False,share_air_time_valid < 0.5
AE,2015,0.0,14083.0,449,False,False,share_air_time_valid < 0.5
AE,2016,0.0,15883.0,494,False,False,share_air_time_valid < 0.5
AE,2017,0.0,15932.0,533,False,False,share_air_time_valid < 0.5
AE,2018,0.0,13835.0,473,False,False,share_air_time_valid < 0.5
AE,2019,0.0,12798.0,445,False,False,share_air_time_valid < 0.5
AE,2020,0.0,4631.0,236,True,False,share_air_time_valid < 0.5
AE,2021,0.0,8351.0,387,True,False,share_air_time_valid < 0.5
AE,2022,0.0,11961.0,418,False,False,share_air_time_valid < 0.5
AE,2023,0.0,12807.0,404,False,False,share_air_time_valid < 0.5
AE,2024,0.0,13278.0,426,False,False,share_air_time_valid < 0.5
AE,2025,0.0,14552.0,466,False,False,share_air_time_valid < 0.5
AL,2018,0.0,96.0,8,False,False,share_air_time_valid < 0.5
AL,2019,0.0,393.0,24,False,False,share_air_time_valid < 0.5
AL,2020,0.0,75.0,6,True,False,share_air_time_valid < 0.5
AN,2008,0.0,44.0,4,False,False,share_air_time_valid < 0.5
AN,2009,0.0,630.0,24,False,False,share_air_time_valid < 0.5
AN,2010,0.0,1310.0,46,False,False,share_air_time_valid < 0.5
AN,2011,0.0,1660.0,78,False,False,share_air_time_valid < 0.5
AN,2012,0.0,1682.0,90,False,False,share_air_time_valid < 0.5
AN,2013,0.0,1176.0,62,False,False,share_air_time_valid < 0.5
AN,2014,0.0,804.0,48,False,False,share_air_time_valid < 0.5
AN,2015,0.0,889.0,48,False,False,share_air_time_valid < 0.5
AN,2016,0.0,1017.0,43,False,False,share_air_time_valid < 0.5
