exclusion_category,UNIQUE_CARRIER,CARRIER_GROUP,n_rows,departures,n_air_gt0,share_air_gt0
null_carrier_code,,0,503,6184.0,0,0.0
null_carrier_code,,2,4,117.0,4,1.0
null_carrier_code,,1,8,26.0,8,1.0
refused_suffix_collision,2T (1),0,3857,36404.0,0,0.0
refused_suffix_collision,SN (1),0,2148,34688.0,0,0.0
refused_suffix_collision,VH (1),0,1019,28302.0,0,0.0
refused_suffix_collision,GU (1),0,830,18758.0,0,0.0
refused_suffix_collision,TR (1),0,789,14200.0,0,0.0
refused_suffix_collision,4M,0,619,11275.0,0,0.0
refused_suffix_collision,MT,0,1039,11204.0,0,0.0
refused_suffix_collision,SN,0,482,11197.0,0,0.0
refused_suffix_collision,VH,0,252,4751.0,0,0.0
refused_suffix_collision,TX (1),0,183,2070.0,0,0.0
refused_suffix_collision,TX,0,266,1697.0,0,0.0
refused_suffix_collision,GU,0,26,694.0,0,0.0
refused_suffix_collision,2T,0,119,693.0,0,0.0
refused_suffix_collision,JD (1),0,72,624.0,0,0.0
refused_suffix_collision,5G,0,104,555.0,0,0.0
refused_suffix_collision,TR,0,36,554.0,0,0.0
refused_suffix_collision,JD,0,62,523.0,0,0.0
refused_suffix_collision,4M (1),0,24,321.0,0,0.0
refused_suffix_collision,5G (1),0,8,148.0,0,0.0
refused_suffix_collision,MT (1),0,4,16.0,0,0.0
unmatched_code,AV,0,15127,254446.0,0,0.0
unmatched_code,OZ,0,7004,148866.0,0,0.0
unmatched_code,CP (1),0,4328,148781.0,0,0.0
unmatched_code,VB,0,5281,86647.0,0,0.0
unmatched_code,P3,0,302,26477.0,0,0.0
unmatched_code,VC (1),0,782,25182.0,0,0.0
unmatched_code,2OQ,0,347,24560.0,0,0.0
unmatched_code,AD,0,1102,21883.0,0,0.0
unmatched_code,LT,0,2765,19328.0,0,0.0
unmatched_code,LJ,0,568,17452.0,0,0.0
unmatched_code,07Q,0,2086,17402.0,0,0.0
unmatched_code,VE,0,853,16517.0,0,0.0
unmatched_code,VA,0,730,16406.0,0,0.0
unmatched_code,A0,0,524,15871.0,0,0.0
unmatched_code,GD,0,2121,15381.0,0,0.0
unmatched_code,4C,0,556,14326.0,0,0.0
unmatched_code,G3,0,805,13434.0,0,0.0
unmatched_code,LB,0,1447,12821.0,0,0.0
unmatched_code,EH,0,684,11552.0,0,0.0
unmatched_code,VA (1),0,942,10833.0,0,0.0
unmatched_code,QN,0,2004,9476.0,0,0.0
unmatched_code,3SD,0,470,8912.0,0,0.0
unmatched_code,BF,0,585,8525.0,0,0.0
unmatched_code,PL,0,445,7282.0,0,0.0
unmatched_code,OG,0,406,7147.0,0,0.0
unmatched_code,IW,0,508,6035.0,0,0.0
unmatched_code,UC,0,600,5892.0,0,0.0
unmatched_code,SH,0,665,5699.0,0,0.0
unmatched_code,GY,0,610,4995.0,0,0.0
unmatched_code,ZX (1),0,108,4883.0,0,0.0
unmatched_code,JX,0,174,4487.0,0,0.0
unmatched_code,ML,0,320,4234.0,0,0.0
unmatched_code,Y2,0,252,4158.0,0,0.0
unmatched_code,KI,0,145,4058.0,0,0.0
unmatched_code,YB,0,138,2522.0,0,0.0
unmatched_code,SX (1),0,193,2448.0,0,0.0
unmatched_code,HFQ,0,58,2368.0,0,0.0
unmatched_code,GJ,0,237,2295.0,0,0.0
unmatched_code,W3,0,142,1771.0,0,0.0
unmatched_code,N6,0,104,1697.0,0,0.0
unmatched_code,BCQ,0,57,1608.0,0,0.0
unmatched_code,D7,0,68,1571.0,0,0.0
unmatched_code,LZ,0,164,1394.0,0,0.0
unmatched_code,WD,0,58,1185.0,0,0.0
unmatched_code,HC,0,105,1031.0,0,0.0
unmatched_code,TB,0,160,939.0,0,0.0
unmatched_code,0OQ,0,34,795.0,0,0.0
unmatched_code,WT,0,88,779.0,0,0.0
unmatched_code,ZE,0,26,778.0,0,0.0
unmatched_code,H5,0,176,553.0,0,0.0
unmatched_code,PF,0,35,459.0,0,0.0
unmatched_code,4S,0,6,272.0,0,0.0
unmatched_code,JX (1),0,38,238.0,0,0.0
unmatched_code,V5,0,9,205.0,0,0.0
unmatched_code,SO,0,6,156.0,0,0.0
unmatched_code,36Q,0,4,119.0,0,0.0
unmatched_code,8L,0,4,54.0,0,0.0
unmatched_code,CYQ,0,20,52.0,0,0.0
unmatched_code,ZB,0,11,52.0,0,0.0
unmatched_code,JAQ,0,4,38.0,0,0.0
unmatched_code,RNQ,0,3,25.0,0,0.0
unmatched_code,E9,0,9,20.0,0,0.0
unmatched_code,HAQ (1),0,4,18.0,0,0.0
unmatched_code,EB,0,13,15.0,0,0.0
unmatched_code,LGQ,0,1,9.0,0,0.0
unmatched_code,05Q,0,8,8.0,0,0.0
unmatched_code,0CQ,0,8,8.0,0,0.0
unmatched_code,0UQ,0,8,8.0,0,0.0
unmatched_code,NBQ,0,6,8.0,0,0.0
unmatched_code,GBQ,0,7,7.0,0,0.0
unmatched_code,TBQ,0,5,5.0,0,0.0
unmatched_code,0BQ,0,4,4.0,0,0.0
unmatched_code,BZQ,0,2,3.0,0,0.0
unmatched_code,PEQ,0,3,3.0,0,0.0
unmatched_code,CIQ,0,2,2.0,0,0.0
unmatched_code,NWQ,0,2,2.0,0,0.0
unmatched_code,1ZQ,0,1,1.0,0,0.0
unmatched_code,AQB,0,1,1.0,0,0.0
