origin,dest,nation,n,p1,p99,n_clipped,cutoff_computed_on,sample
ACA,ATL,US,5,-6.820138009049765,20.166095238095245,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,DFW,US,162,-5.298252337814144,7.638897849462367,4,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,EWR,US,26,-17.314285714285724,17.412499999999994,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,IAH,US,349,-7.049094348775148,8.237681159420292,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,LAX,US,67,-12.237931034482765,13.9934846574191,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,MSP,US,42,-13.153250000000002,13.20690476190476,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,ORD,US,55,-12.049285714285704,16.454333333333338,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACA,PHX,US,143,-15.441230769230772,11.520000000000024,4,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACC,ATL,US,4,5.000916375291423,15.758809523809632,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACC,IAD,US,25,-13.00776556776556,10.098398067128088,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ACC,JFK,US,195,-21.569499702911454,16.167209159261812,4,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AGP,EWR,US,4,-1.2937488479262635,14.79679858366271,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AGP,JFK,US,38,-21.161092838321093,10.066774193548376,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AGU,DFW,US,251,-17.73387096774195,7.438526109763728,6,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AGU,IAH,US,257,-19.977307749351127,10.157419354838714,6,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AGU,LAX,US,4,-0.3505103364377692,6.403102136088547,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AKL,DFW,US,7,-26.00712940304043,7.324499552880107,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AKL,HNL,US,90,-12.723115481010286,17.88169871794872,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AKL,LAX,US,128,-13.381982944011831,16.621584108115847,4,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AKL,SFO,US,25,-14.602059225123671,14.642093045997441,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ALB,YOW,US,4,-1.3879374819671806,2.4182783575585027,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ALB,YUL,US,4,-0.09888131639924545,1.5244871963456335,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
ALB,YYZ,US,11,-10.291662914321455,11.456418990119163,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMM,IAD,US,3,4.690659340659238,24.80464535464536,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMM,JFK,US,12,-26.666754018023024,9.181930497198914,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,ATL,US,382,-24.131267414006615,26.48613978494627,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,BOS,US,385,-23.60560756730537,24.644136518530253,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,CVG,US,18,-15.3203650149715,12.561489247311771,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,DFW,US,25,-34.2658064516129,14.737172060123829,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,DTW,US,319,-27.793988538343363,28.122156505238824,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,EWR,US,299,-31.91927549128662,25.699999999999893,6,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,IAD,US,316,-30.48486388384758,44.848214285714455,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,IAH,US,219,-28.768512820512814,25.8602609248371,6,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,JFK,US,380,-33.402928112684286,26.631691919191898,8,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
AMS,MCO,US,7,-16.05028302102055,6.439011981566765,2,full 1990-2025 sample for this route (not by-year),US carriers' airborne time on US-touching international segments
