metric,value,note
n_triples,20395.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
n_exits,80260.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
n_exits_reentering_ever,63255.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
share_exits_reentering_ever,0.7881260902068278,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
n_exits_reentering_within_3mo,18562.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
share_exits_reentering_within_3mo,0.23127336157488163,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
n_exits_reentering_within_12mo,40877.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
share_exits_reentering_within_12mo,0.5093072514328433,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
entries_per_triple_mean,4.0996322628095125,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
entries_per_triple_median,2.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
entries_per_triple_p90,10.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
entries_per_triple_max,88.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
share_triples_with_gt1_entry,0.5883795047805834,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
active_months_per_triple_mean,50.34219171365531,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
active_months_per_triple_median,5.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
active_months_per_triple_p90,191.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
active_months_per_triple_max,432.0,"construction caveat, not a result -- extensive-margin churn is dominated by thin/seasonal routes; see panel_filter_log.csv and ROUND_01_FINDINGS.md before using this margin for an event study"
