year,source_file,raw_header_md5,YEAR,MONTH,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_COUNTRY,DEST,DEST_COUNTRY,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,RAMP_TO_RAMP,AIR_TIME,extra_columns
1990,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1990.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1991,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1991.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1992,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1992.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1993,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1993.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1994,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1994.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1995,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1995.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1996,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1996.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1997,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1997.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1998,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1998.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
1999,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_1999.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
