check,value,n_airborne_min_mean,n_ramp_min_mean,example_origin,example_dest,example_year,example_month,example_departures,example_distance,example_airborne_min_mean,decision
implied_speed_below_50mph,39.38461538461539,1.0,0.0,BFI,YCD,2008,9,1.0,128.0,195.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,49.09090909090909,1.0,0.0,BFI,ZNA,2009,7,1.0,135.0,165.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,42.786885245901644,1.0,0.0,BGR,YHZ,1998,5,1.0,261.0,366.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,27.019867549668874,1.0,0.0,BUF,YYZ,1999,1,1.0,68.0,151.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,34.79613974713847,1.0,0.0,CCZ,FXE,2019,5,51.0,152.0,262.0980392156863,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,42.797872340425535,1.0,0.0,CUN,MCI,2006,5,14.0,1341.0,1880.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,43.333333333333336,1.0,0.0,CXY,FLL,2018,12,1.0,65.0,90.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,43.333333333333336,1.0,0.0,CXY,FLL,2020,7,18.0,65.0,90.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,22.99651567944251,1.0,0.0,DQN,FPO,2004,12,2.0,220.0,574.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,32.22222222222222,1.0,0.0,EIS,STT,1995,6,1.0,29.0,54.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,30.526315789473685,1.0,0.0,EIS,STT,1998,2,1.0,29.0,57.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,47.027027027027025,1.0,0.0,EIS,STT,2000,11,1.0,29.0,37.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,48.333333333333336,1.0,0.0,EIS,STT,2001,9,1.0,29.0,36.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,42.96296296296296,1.0,0.0,EIS,STT,2002,8,2.0,29.0,40.5,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,41.42857142857143,1.0,0.0,EIS,STT,2003,11,1.0,29.0,42.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,27.1875,1.0,0.0,EIS,STT,2005,4,1.0,29.0,64.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,31.07142857142857,1.0,0.0,EIS,STT,2005,10,1.0,29.0,56.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,32.83018867924528,1.0,0.0,EIS,STT,2007,12,1.0,29.0,53.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,41.42857142857143,1.0,0.0,EIS,STT,2009,8,1.0,29.0,42.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,37.826086956521735,1.0,0.0,EIS,STT,2009,11,1.0,29.0,46.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,31.07142857142857,1.0,0.0,EIS,STT,2011,7,2.0,29.0,56.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,41.0126582278481,1.0,0.0,EIS,STX,1999,8,1.0,54.0,79.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,41.0126582278481,1.0,0.0,EIS,STX,2001,8,1.0,54.0,79.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,45.6,1.0,0.0,FBS,YWH,2014,4,1.0,19.0,25.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,28.5,1.0,0.0,FBS,YWH,2014,10,1.0,19.0,40.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,28.5,1.0,0.0,FBS,YWH,2015,4,1.0,19.0,40.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
implied_speed_below_50mph,28.5,1.0,0.0,FBS,YWH,2017,8,1.0,19.0,40.0,EXCLUDED from baseline/excess (airborne_min_mean left untouched in panel_monthly/panel_excess)
