corridor,window,year,month,mean_excess_banned_side_US_ONLY_NOT_A_RESULT,n_nations_banned,n_nations_banned_with_data,mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT,n_nations_not_banned,n_nations_not_banned_with_data,mean_excess_voluntary_avoidance_side_US_ONLY_NOT_A_RESULT,n_nations_voluntary_avoidance,n_nations_voluntary_avoidance_with_data,mean_excess_unclassified_side_US_ONLY_NOT_A_RESULT,n_nations_unclassified,n_nations_unclassified_with_data,diff_banned_minus_not_banned,status,definition
useastasia,full_2019_2024,2019,1,-2.5419199630260048,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,2,4.495281213274319,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,3,-0.23733613143644056,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,4,3.050984204551862,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,5,-0.16463585132399233,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,6,2.501132869129726,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,7,-1.8815179009278278,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,8,-0.024799271134303573,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,9,-2.68694574617973,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
useastasia,full_2019_2024,2019,10,1.758662069102766,9,1,,3,0,,3,0,,8,0,,NOT A RESULT -- COMPLETENESS RECORD ONLY,"diff_banned_minus_not_banned = mean_excess_banned_side_US_ONLY_NOT_A_RESULT minus mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT. Each mean_excess_*_side_US_ONLY_NOT_A_RESULT column pools nations within that ban_nations_2022.csv status on this corridor x month, weighted by each nation's SUMMED departures_airborne_eligible across its matched cells with a valid excess_min_w that month (departures_airborne_eligible_excess_sum in raw_wedge_by_corridor.csv) -- the same weight the cell-level departures-weighted mean (excess_min_w_wtd) already used one level down, so the two-level pooling is weighted consistently top to bottom; NOT by nation/cell counts. The not_banned side is nations CN/IN/AE/QA/TR/RS/IL/ET/etc -- all non-US, and airborne_min_mean is non-null for 0 of 114993 non-US corridor cells in this dataset (structural non-reporting, verified above), so mean_excess_not_banned_side_US_ONLY_NOT_A_RESULT is NaN in EVERY row and diff_banned_minus_not_banned is therefore NaN BY CONSTRUCTION in every row, regardless of month or corridor. mean_excess_banned_side_US_ONLY_NOT_A_RESULT can be non-NaN because 'banned' pools US with EU/UK/CH/NO carriers and only the US side ever has data (enforced at runtime: the script refuses to write this file if any mean_excess_* column is non-null while its n_nations_*_with_data exceeds 1) -- that column is NOT a treatment-effect estimate on its own; it is shown, with its header naming exactly what it is, so the empty side of the subtraction is visible rather than silently missing. NEVER PLOT THIS CSV. NO SIGN MAY BE READ FROM IT. ban_nations_2022.csv is agent-drafted (Claude, 2026-09-01) from public reporting and its own README says FOR HUMAN REVIEW before headline use (PROJECT.md requires event dictionaries to be human-curated) -- NOT human-reviewed as of this run. voluntary_avoidance is its own line per that README, never pooled with banned/not_banned."
